status;button_label;title;filename;href;modified_at;generated_at;family;message;parse_note;source_path
WARNING;WARNING;20_50_pv_use_prices_forecast.py;20_50_pv_use_prices_forecast_status.html;status/20_50_pv_use_prices_forecast_status.html;2026-07-12 18:46:03;12.07.2026 18:46;20_analysis/20_50_10_pv_use_prices_forecast;"UPDATED_WITH_WARNING — Warstwa walidacji prognozy PV zgłosiła błąd po zapisaniu głównego CSV; główny forecast pozostaje używalny.";;/work/00_nia_system/00_10_nia_system_statuses/20_50_pv_use_prices_forecast_status.html
OK;OK;00_20_nia_system_py_html_descr.py;00_20_nia_system_py_html_descr_status.html;status/00_20_nia_system_py_html_descr_status.html;2026-07-12 18:49:06;12.07.2026 18:49;00_nia_system;GENERATED — Generator script_info zakończył przebieg bez błędów.;;/work/00_nia_system/00_10_nia_system_statuses/00_20_nia_system_py_html_descr_status.html
OK;OK;01_fetch_raw.py;01_fetch_raw_status.html;status/01_fetch_raw_status.html;2026-07-12 18:45:17;12.07.2026 18:45;10_system/01_inverter/01_solax;UPDATED — Raw inverter and optional EV Data reports text fetched successfully;;/work/00_nia_system/00_10_nia_system_statuses/01_fetch_raw_status.html
OK;OK;02_parse_inv.py;02_parse_inv_status.html;status/02_parse_inv_status.html;2026-07-12 18:45:17;12.07.2026 18:45;10_system/01_inverter/01_solax/10_01_01_x3_neo_lv;UPDATED — Parser RAW TXT inwertera SolaX zakończył pracę i zapisał tabelę 10_system_inv.csv.;;/work/00_nia_system/00_10_nia_system_statuses/02_parse_inv_status.html
OK;OK;03_parse_ev.py;03_parse_ev_status.html;status/03_parse_ev_status.html;2026-07-12 18:45:17;12.07.2026 18:45;10_system/01_inverter/01_solax;PARSED — RAW TXT ładowarki EV SolaX został sparsowany i zapisany do 10_system_ev.csv.;;/work/00_nia_system/00_10_nia_system_statuses/03_parse_ev_status.html
OK;OK;04_write_csv.py;04_write_csv_status.html;status/04_write_csv_status.html;2026-07-12 18:45:18;2026-07-12T18:45:18;10_system/01_inverter/01_solax/10_01_01_x3_neo_lv;"UPDATED — Run completed; transient row-level warnings kept in CSV";;/work/00_nia_system/00_10_nia_system_statuses/04_write_csv_status.html
OK;OK;05_00_01_pse_tariffs_importer.py;05_00_01_pse_tariffs_importer_status.html;status/05_00_01_pse_tariffs_importer_status.html;2026-07-12 18:45:27;12.07.2026 18:45:27;05_tariffs/00_pse_rce;UPDATED — Tabela taryf PSE została zaktualizowana i przekazana do warstwy automatyki/raportu zgodnie z konfiguracją.;;/work/00_nia_system/00_10_nia_system_statuses/05_00_01_pse_tariffs_importer_status.html
OK;OK;05_01_00_orchestrator_g13_tauron.py;05_01_00_orchestrator_g13_tauron_status.html;status/05_01_00_orchestrator_g13_tauron_status.html;2026-07-12 18:45:32;12.07.2026 18:45;05_tariffs/01_tauron_g13;COMPLETED — Run completed successfully;;/work/00_nia_system/00_10_nia_system_statuses/05_01_00_orchestrator_g13_tauron_status.html
OK;OK;05_01_01_holidays_list.py;05_01_01_holidays_list_status.html;status/05_01_01_holidays_list_status.html;2026-07-12 18:45:27;12.07.2026 18:45;05_tariffs/01_tauron_g13;UPDATED — Lista świąt została zaktualizowana.;;/work/00_nia_system/00_10_nia_system_statuses/05_01_01_holidays_list_status.html
OK;OK;05_01_02_holiday_today_tomorrow.py;05_01_02_holiday_today_tomorrow_status.html;status/05_01_02_holiday_today_tomorrow_status.html;2026-07-12 18:45:27;12.07.2026 18:45;05_tariffs/01_tauron_g13;ZAKTUALIZOWANO — Flagi święta/weekendu dla dzisiaj i jutra zostały zaktualizowane.;;/work/00_nia_system/00_10_nia_system_statuses/05_01_02_holiday_today_tomorrow_status.html
